Food,Unit,ServingsPerUnit,Type,Notes,Weight per serving (g),Kcal_per_serv,Prot_per_serv (g),Carb_per_serv (g),Fat_per_serv (g),Source
紅豆、綠豆、花豆,湯匙,0.5,全穀雜糧類,2 湯匙（乾）=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
義大利麵(乾)、全麥,份,1.0,全穀雜糧類,≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蠶豆、刀豆,湯匙,0.5,全穀雜糧類,2 湯匙（乾）=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
麵線(乾),份,1.0,全穀雜糧類,≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
鷹嘴豆,湯匙,0.5,全穀雜糧類,2 湯匙（乾）=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
餃子皮,張,0.333,全穀雜糧類,3 張=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
餛飩皮,張,1.0,全穀雜糧類,3-7 張=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
春捲皮,張,0.667,全穀雜糧類,1 1/2 張=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
藕粉,湯匙,0.333,全穀雜糧類,3 湯匙=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
饅頭,個,3.0,全穀雜糧類,1/3 個 (中)=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
西谷米(粉圓),湯匙,0.667,全穀雜糧類,1 1/2 湯匙=1份，≈15g,15.0,70.0,2.0,15.0,0.0,食物代換表 2019
米苔目(濕),g,0.02,全穀雜糧類,50g=1份,50.0,70.0,2.0,15.0,0.0,食物代換表 2019
吐司、全麥吐司,片,1.0,全穀雜糧類,1/2~1/3 片=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
米粉(乾),g,0.05,全穀雜糧類,20g=1份,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
餐包,個,1.0,全穀雜糧類,1 個(小)=1份，≈30g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
漢堡麵包,個,2.0,全穀雜糧類,1/2 個=1份，≈25g,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
菠蘿麵包 (+1 茶匙油),個,3.0,全穀雜糧類,1/3 個=1份，≈25g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
奶酥麵包 (+1 茶匙油),個,3.0,全穀雜糧類,1/3 個=1份，≈25g,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
芋圓、地瓜圓(冷凍),g,0.033,全穀雜糧類,30g=1份,30.0,70.0,2.0,15.0,0.0,食物代換表 2019
河粉(濕),g,0.04,全穀雜糧類,25g=1份,25.0,70.0,2.0,15.0,0.0,食物代換表 2019
越南春捲皮(乾),g,0.05,全穀雜糧類,20g=1份,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蘇打餅干,片,0.333,全穀雜糧類,3 片=1份，≈20g,20.0,70.0,2.0,15.0,0.0,食物代換表 2019
蛋餅皮、蔥油餅皮(冷凍),g,0.029,全穀雜糧類,35g=1份,35.0,70.0,2.0,15.0,0.0,食物代換表 2019
燙青菜,盤,1,蔬菜類,"約100g=1盤, 無油",100.0,25.0,1.0,5.0,0.0,
燙青菜淋油蔥酥2茶匙,盤,1,蔬菜類,"約100g=1盤, 油2份",100.0,115.0,1.0,5.0,10.0,
炒青菜,盤,1,蔬菜類,"約100g=1盤, 油3份",100.0,180.0,1.0,10.0,15.0,
燙青菜加肉燥1大匙,盤,1,蔬菜類,"約100g=1盤, 肉燥1大匙",100.0,215.0,6.0,14.0,15.0,
黃豆芽,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
胡瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
葫蘆瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
蒲瓜（扁蒲）,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
木耳,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
茭白筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
綠豆芽,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
洋蔥,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
甘藍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
山東白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
包心白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
翠玉白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
芥菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
萵苣,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
冬瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
玉米筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
小黃瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
苦瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
甜椒(青椒),g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
澎湖絲瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
芥蘭菜嬰,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
胡蘿蔔,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
鮮雪裡紅,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
蘿蔔,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
球莖甘藍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
麻竹筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
綠蘆筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
小白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
韭黃,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
芥蘭,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
油菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
空心菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
油菜花,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
美國芹菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
紅鳳菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
皇冠菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
紫甘藍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
萵苣葉,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
龍鬚菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
花椰菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
韭菜花,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
金針菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
高麗菜芽,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
茄子,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
黃秋葵,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
香菇,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
牛蒡,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
竹筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
半天筍,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
苜蓿芽,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
鵝菜心,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
韭菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
地瓜葉,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
芹菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
茼蒿,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
紅莧菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
(番薯葉),g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
荷蘭豆菜心,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
鵝仔白菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
白鳳菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
柳松菇,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
洋菇,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
猴頭菇,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
黑甜菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
芋莖,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
金針菇,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
小芹菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
莧菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
野苦瓜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
紅梗珍珠菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
川七,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
番茄罐頭,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
角菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
菠菜,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
草菇,g,0.01,蔬菜類,每份100g=1份(蔬菜類),100.0,25.0,1.0,5.0,0.0,食物代換表 2019
油柑 (金棗)(30個/斤),個,0.167,水果類,6 個=1份，≈120g可食重,120.0,60.0,0.0,15.0,0.0,食物代換表 2019
柳丁 (4個/斤),個,1.0,水果類,1 個=1份，≈130g可食重,130.0,60.0,0.0,15.0,0.0,食物代換表 2019
香吉士,個,1.0,水果類,1 個=1份，≈130g可食重,130.0,60.0,0.0,15.0,0.0,食物代換表 2019
椪柑 (3個/斤),個,1.0,水果類,1 個=1份，≈150g可食重,150.0,60.0,0.0,15.0,0.0,食物代換表 2019
桶柑 (海梨)(4個/斤),個,1.0,水果類,1 個=1份，≈155g可食重,155.0,60.0,0.0,15.0,0.0,食物代換表 2019
白柚,片,0.5,水果類,2 片=1份，≈165g可食重,165.0,60.0,0.0,15.0,0.0,食物代換表 2019
葡萄柚,個,1.333,水果類,3/4 個=1份，≈165g可食重,165.0,60.0,0.0,15.0,0.0,食物代換表 2019
青龍蘋果,個,1.0,水果類,小 1 個=1份，≈115g可食重,115.0,60.0,0.0,15.0,0.0,食物代換表 2019
五爪蘋果,個,1.0,水果類,小 1 個=1份，≈125g可食重,125.0,60.0,0.0,15.0,0.0,食物代換表 2019
富士蘋果,個,1.0,水果類,小 1 個=1份，≈130g可食重,130.0,60.0,0.0,15.0,0.0,食物代換表 2019
哈密瓜,個,4.0,水果類,1/4 個=1份，≈150g可食重,150.0,60.0,0.0,15.0,0.0,食物代換表 2019
木瓜 (1個/斤),個,3.0,水果類,1/3 個=1份，≈150g可食重,150.0,60.0,0.0,15.0,0.0,食物代換表 2019
香瓜 (美濃),個,1.5,水果類,2/3 個=1份，≈165g可食重,165.0,60.0,0.0,15.0,0.0,食物代換表 2019
紅西瓜,片,1.0,水果類,1 片=1份，≈180g可食重,180.0,60.0,0.0,15.0,0.0,食物代換表 2019
黃西瓜,個,3.0,水果類,1/3 個=1份，≈195g可食重,195.0,60.0,0.0,15.0,0.0,食物代換表 2019
太陽瓜,個,1.5,水果類,2/3 個=1份，≈215g可食重,215.0,60.0,0.0,15.0,0.0,食物代換表 2019
新疆哈密瓜,個,2.5,水果類,2/5 個=1份，≈245g可食重,245.0,60.0,0.0,15.0,0.0,食物代換表 2019
金煌芒果,片,1.0,水果類,1 片=1份，≈105g可食重,105.0,60.0,0.0,15.0,0.0,食物代換表 2019
愛文芒果,片,0.667,水果類,1 1/2 片=1份，≈150g可食重,150.0,60.0,0.0,15.0,0.0,食物代換表 2019
葫蘆芭樂,個,1.0,水果類,1 個=1份，≈155g可食重,155.0,60.0,0.0,15.0,0.0,食物代換表 2019
土芭樂,個,1.0,水果類,1 個=1份，≈155g可食重,155.0,60.0,0.0,15.0,0.0,食物代換表 2019
泰國芭樂(1個/斤),個,3.0,水果類,1/3 個=1份，≈160g可食重,160.0,60.0,0.0,15.0,0.0,食物代換表 2019
西洋梨,個,1.0,水果類,1 個=1份，≈105g可食重,105.0,60.0,0.0,15.0,0.0,食物代換表 2019
粗梨,個,1.0,水果類,小 1 個=1份，≈120g可食重,120.0,60.0,0.0,15.0,0.0,食物代換表 2019
水梨,個,1.333,水果類,3/4 個=1份，≈145g可食重,145.0,60.0,0.0,15.0,0.0,食物代換表 2019
仙桃,個,1.0,水果類,1 個=1份，≈50g可食重,50.0,60.0,0.0,15.0,0.0,食物代換表 2019
水蜜桃(4個/斤),個,1.0,水果類,小 1 個=1份，≈145g可食重,145.0,60.0,0.0,15.0,0.0,食物代換表 2019
玫瑰桃,個,1.0,水果類,1 個=1份，≈145g可食重,145.0,60.0,0.0,15.0,0.0,食物代換表 2019
桃子,個,1.0,水果類,1 個=1份，≈220g可食重,220.0,60.0,0.0,15.0,0.0,食物代換表 2019
黑棗梅(12個/斤),個,0.333,水果類,3 個=1份，≈110g可食重,110.0,60.0,0.0,15.0,0.0,食物代換表 2019
加州李(4個/斤),個,1.0,水果類,小 1 個=1份，≈120g可食重,120.0,60.0,0.0,15.0,0.0,食物代換表 2019
李子(14個/斤),個,0.25,水果類,4 個=1份，≈145g可食重,145.0,60.0,0.0,15.0,0.0,食物代換表 2019
紅棗,個,0.1,水果類,10 個=1份，≈25g可食重,25.0,60.0,0.0,15.0,0.0,食物代換表 2019
黑棗,個,0.111,水果類,9 個=1份，≈25g可食重,25.0,60.0,0.0,15.0,0.0,食物代換表 2019
綠棗子,個,0.5,水果類,2 個=1份，≈130g可食重,130.0,60.0,0.0,15.0,0.0,食物代換表 2019
柿餅,個,1.333,水果類,3/4 個=1份，≈33g可食重,33.0,60.0,0.0,15.0,0.0,食物代換表 2019
紅柿(6個/斤),個,1.333,水果類,3/4 個=1份，≈100g可食重,100.0,60.0,0.0,15.0,0.0,食物代換表 2019
